,plot,director,actors,rated,genre,imdb_rating,title
11,"Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but ""politics is perception"", and sparks fly anyway.",Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",PG-13,"Comedy, Drama, Romance",6.8,The American President
12,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,Mel Brooks,"Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",PG-13,"Comedy, Fantasy, Horror",5.8,Dracula: Dead and Loving It
13,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",G,"Animation, Adventure, Drama",7.1,Balto
14,"A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris",R,"Biography, Drama, History",7.1,Nixon
15,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",PG-13,"Action, Adventure, Comedy",5.6,Cutthroat Island
16,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods",R,"Crime, Drama",8.2,Casino
17,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",Ang Lee,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",PG,"Drama, Romance",7.7,Sense and Sensibility
18,Four interlocking tales that take place in a fading hotel on New Year's Eve.,"Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino","Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna",R,Comedy,6.7,Four Rooms
19,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",PG-13,"Adventure, Comedy, Crime",6.3,Ace Ventura: When Nature Calls
20,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",R,"Action, Comedy, Crime",5.6,Money Train
21,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito",R,"Comedy, Crime, Thriller",6.9,Get Shorty
22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",R,"Drama, Mystery, Thriller",6.6,Copycat
23,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",R,"Action, Crime, Thriller",6.3,Assassins
24,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",PG-13,"Drama, Fantasy, Mystery",6.6,Powder
25,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",R,"Drama, Romance",7.6,Leaving Las Vegas
26,The Moorish general Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his lieutenant Michael Cassio when in reality it is all part of the scheme of a bitter ensign named Iago.,Oliver Parker,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",R,"Drama, Romance",6.9,Othello
27,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",PG-13,"Comedy, Drama, Romance",6.8,Now and Then
28,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave",PG,"Drama, Romance",7.7,Persuasion
29,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Marc Caro, Jean-Pierre Jeunet","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon",R,"Fantasy, Sci-Fi",7.6,The City of Lost Children
30,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Yimou Zhang,"Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li",R,"Crime, Drama, Romance",7.2,Shanghai Triad
31,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",R,"Biography, Drama",6.4,Dangerous Minds
32,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",R,"Mystery, Sci-Fi, Thriller",8.0,Twelve Monkeys
34,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",G,"Comedy, Drama, Family",6.8,Babe
35,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West",R,"Biography, Drama, Romance",6.9,Carrington
36,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",R,"Crime, Drama",7.5,Dead Man Walking
37,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",Stephen Low,"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach",G,"Adventure, Drama, Family",6.4,Across the Sea of Time
38,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",PG,"Comedy, Family, Romance",5.8,It Takes Two
39,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",PG-13,"Comedy, Romance",6.8,Clueless
40,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,"James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",PG-13,"Drama, Thriller",6.9,"Cry, the Beloved Country"
41,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,Richard Loncraine,"Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson",R,"Drama, Sci-Fi, War",7.5,Richard III
42,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez",R,"Action, Crime, Drama",6.9,Dead Presidents
43,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker",R,"Biography, Drama, History",6.7,Restoration
44,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",PG-13,"Action, Adventure, Fantasy",5.8,Mortal Kombat
45,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",R,"Comedy, Crime, Drama",6.8,To Die For
46,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Jocelyn Moorhouse,"Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",PG-13,"Comedy, Drama, Romance",6.2,How to Make an American Quilt
47,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa",R,"Crime, Drama, Mystery",8.6,Se7en
48,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,"Mike Gabriel, Eric Goldberg","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly",G,"Animation, Adventure, Drama",6.7,Pocahontas
49,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox",R,"Drama, Romance",6.7,When Night Is Falling
50,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",R,"Crime, Mystery, Thriller",8.6,The Usual Suspects
52,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Woody Allen,"Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",R,"Comedy, Fantasy, Romance",7.1,Mighty Aphrodite
53,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli",N/A,Drama,7.6,Lamerica
54,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.",Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",PG,"Comedy, Family, Sport",5.5,The Big Green
55,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich",R,"Drama, Music",6.5,Georgia
57,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",Jodie Foster,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",PG-13,"Comedy, Drama, Romance",6.6,Home for the Holidays
58,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,"Michael Radford, Massimo Troisi","Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa",PG,"Biography, Comedy, Drama",7.7,Il Postino
59,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",Robert Lepage,"Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette, Kristin Scott Thomas",NOT RATED,"Drama, Mystery, Thriller",7.5,The Confessional
60,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,Frank Oz,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",PG,"Drama, Family, Fantasy",5.9,The Indian in the Cupboard
61,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",John Schlesinger,"Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle",R,"Crime, Drama, Thriller",6.1,Eye for an Eye
62,A frustrated composer finds fulfillment as a high school music teacher.,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",PG,"Drama, Music",7.3,Mr. Holland's Opus
63,"""Don't Be a Menace to South Central While Drinking your Juice in the Hood"" is a parody of several U.S. films about being in the 'Hood', for instance ""Boyz n the Hood"", ""South Central"", ""...",Paris Barclay,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer",R,"Comedy, Crime",6.6,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",Bill Bennett,"Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto",R,"Comedy, Crime, Romance",5.2,Two If by Sea
65,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Jason Bloom,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West",PG-13,Comedy,4.4,Bio-Dome
66,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget",PG-13,"Action, Sci-Fi, Thriller",2.4,Lawnmower Man 2: Beyond Cyberspace
68,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado",R,Comedy,6.4,French Twist
70,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis",R,"Action, Crime, Horror",7.3,From Dusk Till Dawn
71,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald",R,"Action, Crime, Romance",4.2,Fair Game
72,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all...",Noah Baumbach,"Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach",R,"Comedy, Drama, Romance",7.0,Kicking and Screaming
73,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,Claude Lelouch,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch",R,"Drama, History",7.5,Les Misérables
74,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin",PG,"Romance, Drama",6.1,Bed of Roses
76,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer",R,"Sci-Fi, Thriller",6.4,Screamers
77,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",Susanne Ofteringer,"Nico, Tina Aumont, Christian Päffgen, Edith Boulogne",N/A,"Documentary, Biography, Music",7.3,Nico Icon
78,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright",R,"Drama, Thriller",6.3,The Crossing Guard
79,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,Brian Gibson,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini",R,"Drama, Thriller",5.6,The Juror
80,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,Jafar Panahi,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska",UNRATED,"Drama, Family",7.8,The White Balloon
81,Five different criminals face imminent death after botching a job quite badly.,Gary Fleder,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn",R,"Crime, Drama",6.8,Things to Do in Denver When You're Dead
82,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",Marleen Gorris,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop",R,"Comedy, Drama",7.5,Antonia's Line
83,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,Tim Reid,"Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly",PG,"Drama, Romance",7.2,Once Upon a Time... When We Were Colored
84,"Filmed entirely on location in East Hampton, Long Island, ""Last Summer in the Hamptons"" concerns a large theatrical family spending the last weekend of their summer together at the ...",Henry Jaglom,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz, Savannah Smith Boucher",R,"Comedy, Drama",6.1,Last Summer in the Hamptons
85,In the 1800s a naturalist marries into a family of British country gentry.,Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp",R,"Drama, Romance",7.0,Angels and Insects
86,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf",PG-13,"Adventure, Drama",6.6,White Squall
87,A young boy befriends a larcenous orangutan in a luxury hotel.,Ken Kwapis,"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett",PG,"Comedy, Adventure, Family",5.3,Dunston Checks In
88,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",PG-13,Comedy,6.2,Black Sheep
89,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",John Badham,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken",R,"Action, Crime, Drama",6.3,Nick of Time
92,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",Stephen Frears,"Julia Roberts, John Malkovich, George Cole, Michael Gambon",R,"Drama, Horror, Romance",5.8,Mary Reilly
93,"Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ...",Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison",R,"Comedy, Fantasy, Horror",4.5,Vampire in Brooklyn
94,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,Ted Demme,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",R,"Comedy, Drama, Romance",7.2,Beautiful Girls
95,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.,John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",R,"Action, Adventure, Thriller",6.0,Broken Arrow
96,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent ...",Kenneth Branagh,"Richard Briers, Hetta Charnley, Joan Collins, Nicholas Farrell",R,Comedy,7.3,A Midwinter's Tale
97,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",NOT RATED,"Crime, Drama",8.1,La Haine
98,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'",Paul W.S. Anderson,"Sadie Frost, Jude Law, Sean Pertwee, Fraser James",R,"Action, Crime, Drama",5.4,Shopping
99,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ...",Nick Broomfield,"Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer",NOT RATED,"Documentary, Biography",6.6,Heidi Fleiss: Hollywood Madam
100,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",Harold Becker,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello",R,Drama,6.2,City Hall
101,Three friends plan to pull off a simple robbery and go on the run.,Wes Anderson,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler",R,"Comedy, Crime, Drama",7.1,Bottle Rocket
102,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.",Nick Castle,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell",PG-13,Comedy,3.8,Mr. Wrong
103,"Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing a new drug that allows him to experience the memories of other people first-hand....",John Dahl,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald",R,"Drama, Mystery, Sci-Fi",6.0,Unforgettable
104,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",PG-13,"Comedy, Sport",7.0,Happy Gilmore
105,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.",Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",PG-13,"Drama, Romance",7.6,The Bridges of Madison County
107,The Muppets' twist on the classic tale.,"Brian Henson, David Lane","Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop",G,"Action, Adventure, Comedy",6.9,Muppet Treasure Island
108,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ...",Robert Leacock,"Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann",N/A,Documentary,6.4,Catwalk
110,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.",Mel Gibson,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",R,"Biography, Drama, History",8.4,Braveheart
111,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action, while attempting to liberate a twelve-year-old prostitute.",Martin Scorsese,"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito",R,"Crime, Drama",8.3,Taxi Driver
112,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip, Bill Tung",R,"Action, Comedy, Crime",6.7,Rumble in the Bronx
113,Two parents deal with the effects when their son is accused of murdering his girlfriend.,Barbet Schroeder,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon",PG-13,"Crime, Drama, Mystery",6.1,Before and After
114,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.",Mort Ransen,"Helena Bonham Carter, Clive Russell, Craig Anthony Olejnik, Kate Nelligan",R,Drama,7.3,Margaret's Museum
116,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ...",Jon Blair,"Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema",PG,"Documentary, Biography, War",8.1,Anne Frank Remembered
117,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ...",Benjamin Ross,"Tobias Arnold, Ruth Sheen, Roger Lloyd Pack, Hugh O'Conor",R,"Crime, Drama",7.1,The Young Poisoner's Handbook
118,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable ...",Eric Schaeffer,"Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson",R,"Comedy, Romance",4.9,If Lucy Fell
119,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So...",Andrew Davis,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano",PG-13,Comedy,4.8,Steal Big Steal Little
121,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.,John N. Smith,"Henry Czerny, Johnny Morina, Brian Dooley, Philip Dinn",N/A,Drama,7.7,The Boys of St. Vincent
122,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,Reginald Hudlin,"Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier",R,"Comedy, Drama, Romance",5.4,Boomerang
123,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",Kar-Wai Wong,"Brigitte Lin, Tony Chiu-Wai Leung, Faye Wong, Takeshi Kaneshiro",PG-13,"Crime, Drama, Romance",8.1,Chungking Express
124,A photographer and the types of people he encounters.,Giuseppe Tornatore,"Sergio Castellitto, Tiziana Lodato, Franco Scaldati, Leopoldo Trieste",R,"Drama, Romance",7.4,The Star Maker
